Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani2,,,
1,,What's new? Who are you? Stranger?,,
2,,Nicole,,
3,,So your name is Nicole?,,"[{'chat': 40, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Nicole?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Nicole', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:33:59.681233', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Nicole?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Nicole', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:33:59.681233', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
4,Leolani2,yes,,
5,Nicole,Do you have any gossip?,,"[{'chat': 40, 'turn': 4, 'author': 'Leolani', 'utterance': 'Do you have any gossip?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do have', 'type': []}, 'object': {'label': 'gossip', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:12.534668', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
6,Leolani2,My hair color is brown,,"[{'chat': 40, 'turn': 5, 'author': 'Leolani', 'utterance': 'My hair color is brown', 'utterance_type': 'STATEMENT', 'position': '0-22', 'subject': {'label': 'My hair color', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'brown', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:19.005718', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
7,Nicole,"I just learned something, I did not know anything that my hair color is",,
8,Leolani2,Do you have hair?,,"[{'chat': 40, 'turn': 7, 'author': 'Leolani', 'utterance': 'Do you have hair?', 'utterance_type': 'STATEMENT', 'position': '0-17', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do have', 'type': []}, 'object': {'label': 'hair', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:31.971899', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
9,Nicole,"I know agent usually do noun.body, but I do not know this case",,"[{'chat': 40, 'turn': 8, 'author': 'Leolani', 'utterance': 'I know agent usually do noun.body, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'do', 'type': []}, 'object': {'label': 'noun.body', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:38.470552', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 8, 'author': 'Leolani', 'utterance': 'I know agent usually do noun.body, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually do', 'type': []}, 'object': {'label': 'noun.body', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:38.470552', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
