Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2.0,1.0,1.0,1.0,0.5,0.0,,1.0,1.0,,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,101.0,158.0,3.128712871287129,0.03128712871287128,0.03243464193220773,0.43528995756718536,-0.23021558779236717,0.0,1.0,-0.23021558779236717,6.110739768561949,6.340693468452528,0.01548867758062935,0.0,0.0,0.0,0.0,0.0,0.0,158.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.02531645569620253,0.012658227848101266,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,116.0,200.0,3.4482758620689653,0.029985007496251874,0.03585068279527897,0.5235426929392446,-0.21750115058904015,0.0,1.0,-0.21750115058904015,6.295334835844297,6.515417163856357,0.014863258026159334,0.0,0.0,0.0,0.0,0.0,0.0,200.0,6.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.025,0.015,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,130.0,239.0,3.6769230769230767,0.02850327966607036,0.03819765793473286,0.5964652014652015,-0.20199411854288085,0.0,1.0,-0.20199411854288085,6.438085781940128,6.663958837018759,0.014142011834319526,0.0,0.0,0.0,0.0,0.0,0.0,239.0,7.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.02510460251046025,0.016736401673640166,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,144.0,278.0,3.861111111111111,0.027000777000777004,0.04041764316099412,0.6548004850088183,-0.1942720440297632,0.0,1.0,-0.1942720440297632,6.561709182125948,6.804271481373601,0.013406635802469136,0.0,0.0,0.0,0.0,0.0,0.0,278.0,8.0,7.0,5.0,5.0,0.0,2.0,0.0,5.0,0.025179856115107913,0.017985611510791366,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,5.0,5.0,5.0
5,5,158.0,317.0,4.012658227848101,0.025558332661452878,0.042649567676701694,0.6974733775366687,-0.19624754272683578,0.0,1.0,-0.19624754272683578,6.674463020906353,6.9341895547412635,0.012698285531164878,0.0,0.0,0.0,0.0,0.0,0.0,317.0,9.0,8.0,6.0,6.0,0.0,2.0,0.0,6.0,0.025236593059936908,0.01892744479495268,0.0,0.75,0.75,0.0,1.0,1.0,6.0,6.0,6.0
6,6,173.0,356.0,4.115606936416185,0.023927947304745262,0.04323239581400902,0.7318156795035408,-0.19853922843561853,0.0,1.0,-0.19853922843561853,6.7834396988915735,7.0652136894379325,0.011894817735306894,0.0,0.0,0.0,0.0,0.0,0.0,356.0,10.0,9.0,7.0,7.0,0.0,2.0,0.0,7.0,0.025280898876404494,0.019662921348314606,0.0,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,7.0,7.0,7.0
7,7,189.0,398.0,4.211640211640212,0.022402341551277724,0.041669817044887765,0.7589191232048375,-0.20104411717646123,0.0,1.0,-0.20104411717646123,6.8981673859463895,7.141582598473922,0.011141905321799503,0.0,0.0,0.0,0.0,0.0,0.0,398.0,12.0,10.0,8.0,8.0,0.0,2.0,0.0,8.0,0.02512562814070352,0.020100502512562814,0.0,0.8,0.8,0.0,1.0,1.0,8.0,8.0,8.0
8,8,203.0,437.0,4.305418719211823,0.02131395405550408,0.04065679497784214,0.783353182121655,-0.20750996019182086,0.0,1.0,-0.20750996019182086,6.983898290886478,7.22100016823682,0.010604479603970006,0.0,0.0,0.0,0.0,0.0,0.0,437.0,13.0,11.0,9.0,9.0,0.0,2.0,0.0,9.0,0.02517162471395881,0.020594965675057208,0.0,0.8181818181818182,0.8181818181818182,0.0,1.0,1.0,9.0,9.0,9.0
9,9,215.0,474.0,4.409302325581395,0.020604216474679415,0.04510178413459079,0.8116906607604282,-0.21495757890389217,0.0,1.0,-0.21495757890389217,7.0432805961673015,7.37810100355207,0.010254191454840455,0.0,0.0,0.0,0.0,0.0,0.0,474.0,13.0,12.0,10.0,10.0,0.0,2.0,0.0,10.0,0.02531645569620253,0.02109704641350211,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,10.0,10.0,10.0
10,10,231.0,516.0,4.467532467532467,0.0194240542066629,0.044989647003127686,0.8224068139652556,-0.21699600095846494,0.0,1.0,-0.21699600095846494,7.132462987535968,7.486116169221409,0.009669983695957722,0.0,0.0,0.0,0.0,0.0,0.0,516.0,14.0,13.0,11.0,11.0,0.0,2.0,0.0,11.0,0.025193798449612403,0.02131782945736434,0.0,0.8461538461538461,0.8461538461538461,0.0,1.0,1.0,11.0,11.0,11.0
11,11,245.0,555.0,4.530612244897959,0.018568082970893275,0.04610005505865246,0.8398701298701298,-0.2198531882801286,0.0,1.0,-0.2198531882801286,7.2024083909289605,7.573237552914729,0.009246147438567264,0.0,0.0,0.0,0.0,0.0,0.0,555.0,15.0,14.0,12.0,12.0,0.0,2.0,0.0,12.0,0.025225225225225224,0.021621621621621623,0.0,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,12.0,12.0,12.0
12,12,260.0,594.0,4.569230769230769,0.01764181764181764,0.046075534368068626,0.8535950813891992,-0.21978388980472224,0.0,1.0,-0.21978388980472224,7.272125464686406,7.662333054202493,0.00878698224852071,0.0,0.0,0.0,0.0,0.0,0.0,594.0,16.0,15.0,13.0,13.0,0.0,2.0,0.0,13.0,0.025252525252525252,0.021885521885521887,0.0,0.8666666666666667,0.8666666666666667,0.0,1.0,1.0,13.0,13.0,13.0
13,13,267.0,620.0,4.644194756554307,0.017459378784038748,0.04595559305407849,0.8742791748409725,-0.21855133187068754,0.0,1.0,-0.21855133187068754,7.30213177303394,7.697399901408664,0.008696993926131661,0.0,0.0,0.0,0.0,0.0,0.0,620.0,16.0,15.0,13.0,14.0,0.0,2.0,0.0,14.0,0.024193548387096774,0.020967741935483872,0.0,0.8666666666666667,0.9333333333333333,0.0,1.0,1.0769230769230769,14.0,13.0,13.0
14,14,284.0,661.0,4.654929577464789,0.016448514408002785,0.04687274195191799,0.8802791630163758,-0.22335088690928862,0.0,1.0,-0.22335088690928862,7.36774999338499,7.792668509806306,0.008195298551874628,0.0,0.0,0.0,0.0,0.0,0.0,661.0,17.0,16.0,14.0,15.0,0.0,2.0,0.0,15.0,0.024205748865355523,0.02118003025718608,0.0,0.875,0.9375,0.0,1.0,1.0714285714285714,15.0,14.0,14.0
15,15,298.0,701.0,4.704697986577181,0.01584073396153933,0.04705267492931232,0.8916100119120254,-0.2227200380693607,0.0,1.0,-0.2227200380693607,7.428366384832426,7.8642506936656735,0.007893788568082519,0.0,0.0,0.0,0.0,0.0,0.0,701.0,18.0,17.0,15.0,16.0,0.0,2.0,0.0,16.0,0.024251069900142655,0.021398002853067047,0.0,0.8823529411764706,0.9411764705882353,0.0,1.0,1.0666666666666667,16.0,15.0,15.0
16,16,312.0,742.0,4.756410256410256,0.01529392365405227,0.04851606823212267,0.8990732306908776,-0.2227957708091215,0.0,1.0,-0.2227957708091215,7.483878812814018,7.949153043096068,0.007622452333990795,0.0,0.0,0.0,0.0,0.0,0.0,742.0,19.0,18.0,16.0,17.0,0.0,2.0,0.0,17.0,0.02425876010781671,0.0215633423180593,0.0,0.8888888888888888,0.9444444444444444,0.0,1.0,1.0625,17.0,16.0,16.0
17,17,327.0,781.0,4.776758409785932,0.014652633158852556,0.04933893380749394,0.9095422738107432,-0.2230697049538245,0.0,1.0,-0.2230697049538245,7.534709246192122,8.019936542289042,0.007303911941568705,0.0,0.0,0.0,0.0,0.0,0.0,781.0,20.0,19.0,17.0,18.0,0.0,2.0,0.0,18.0,0.024327784891165175,0.02176696542893726,0.0,0.8947368421052632,0.9473684210526315,0.0,1.0,1.0588235294117647,18.0,17.0,17.0
18,18,342.0,820.0,4.795321637426901,0.014062526795973314,0.05012374379372674,0.9201508932630215,-0.22313147354931098,0.0,1.0,-0.22313147354931098,7.582942126905741,8.08755222866491,0.007010704148284942,0.0,0.0,0.0,0.0,0.0,0.0,820.0,21.0,20.0,18.0,19.0,0.0,2.0,0.0,19.0,0.024390243902439025,0.02195121951219512,0.0,0.9,0.95,0.0,1.0,1.0555555555555556,19.0,18.0,18.0
19,19,357.0,859.0,4.812324929971989,0.013517766657224685,0.05087363956329195,0.930906539163755,-0.22299141211039428,0.0,1.0,-0.22299141211039428,7.629009672046731,8.152284378763973,0.00673995088231371,0.0,0.0,0.0,0.0,0.0,0.0,859.0,22.0,21.0,19.0,20.0,0.0,2.0,0.0,20.0,0.024447031431897557,0.02211874272409779,0.0,0.9047619047619048,0.9523809523809523,0.0,1.0,1.0526315789473684,20.0,19.0,19.0
20,20,364.0,885.0,4.862637362637362,0.013395695213877033,0.05094635432146327,0.9495153655867941,-0.22169647205383775,0.0,1.0,-0.22169647205383775,7.649595879010578,8.177196285543024,0.006679446926699674,0.0,0.0,0.0,0.0,0.0,0.0,885.0,22.0,21.0,19.0,21.0,0.0,2.0,0.0,21.0,0.023728813559322035,0.021468926553672316,0.0,0.9047619047619048,1.0,0.0,1.0,1.105263157894737,21.0,19.0,19.0
21,21,378.0,924.0,4.888888888888889,0.012967875036840553,0.05174202757257106,0.9627448389353152,-0.2216753081246556,0.0,1.0,-0.2216753081246556,7.691622194629604,8.233448656892744,0.006466784244562022,0.0,0.0,0.0,0.0,0.0,0.0,924.0,23.0,22.0,20.0,22.0,0.0,2.0,0.0,22.0,0.023809523809523808,0.021645021645021644,0.0,0.9090909090909091,1.0,0.0,1.0,1.1,22.0,20.0,20.0
22,22,391.0,963.0,4.9258312020460355,0.012630336415502654,0.0525909514343156,0.9785086278692415,-0.22168170122157183,0.0,1.0,-0.22168170122157183,7.7304539202036935,8.28306098132527,0.0062990168824118105,0.0,0.0,0.0,0.0,0.0,0.0,963.0,24.0,23.0,21.0,23.0,0.0,2.0,0.0,23.0,0.023883696780893044,0.021806853582554516,0.0,0.9130434782608695,1.0,0.0,1.0,1.0952380952380953,23.0,21.0,21.0
23,23,406.0,1002.0,4.935960591133005,0.012187557015143222,0.053219977027128024,0.9893203676454907,-0.22137060202747139,0.0,1.0,-0.22137060202747139,7.770524729375849,8.340045213780291,0.006078769200902716,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,25.0,24.0,22.0,24.0,0.0,2.0,0.0,24.0,0.023952095808383235,0.021956087824351298,0.0,0.9166666666666666,1.0,0.0,1.0,1.0909090909090908,24.0,22.0,22.0
24,24,422.0,1044.0,4.947867298578199,0.011752653915862707,0.05287953033336746,0.9897517419661559,-0.2194504960512823,0.0,1.0,-0.2194504960512823,7.819612355127224,8.39872268097008,0.005862402012533411,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,26.0,25.0,23.0,25.0,0.0,2.0,0.0,25.0,0.023946360153256706,0.022030651340996167,0.0,0.92,1.0,0.0,1.0,1.0869565217391304,25.0,23.0,23.0
25,25,436.0,1083.0,4.967889908256881,0.011420436570705472,0.052898117533451736,0.9949154056952223,-0.21943200206946264,0.0,1.0,-0.21943200206946264,7.857054031045687,8.44754229701806,0.005697121454423028,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,27.0,26.0,24.0,26.0,0.0,2.0,0.0,26.0,0.024007386888273315,0.0221606648199446,0.0,0.9230769230769231,1.0,0.0,1.0,1.0833333333333333,26.0,24.0,24.0
26,26,452.0,1123.0,4.969026548672566,0.011017797225438062,0.05225981971358489,0.9928833417985572,-0.2191540622353269,0.0,1.0,-0.2191540622353269,7.898323067636033,8.49979654798926,0.00549671078392983,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,28.0,27.0,25.0,27.0,0.0,2.0,0.0,27.0,0.02404274265360641,0.02226179875333927,0.0,0.9259259259259259,1.0,0.0,1.0,1.08,27.0,25.0,25.0
27,27,467.0,1162.0,4.9764453961456105,0.010679067373703026,0.051838455707950974,0.9934124048685075,-0.2194213855170259,0.0,1.0,-0.2194213855170259,7.935188173544428,8.547230479345451,0.005328099995873244,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,29.0,28.0,26.0,28.0,0.0,2.0,0.0,28.0,0.024096385542168676,0.022375215146299483,0.0,0.9285714285714286,1.0,0.0,1.0,1.0769230769230769,28.0,26.0,26.0
28,28,481.0,1201.0,4.993762993762994,0.010403672903672903,0.05160461696975175,0.9963693963693961,-0.22000873483090133,0.0,1.0,-0.22000873483090133,7.9695269360440575,8.590099138694509,0.005191021823038455,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,30.0,29.0,27.0,29.0,0.0,2.0,0.0,29.0,0.02414654454621149,0.022481265611990008,0.0,0.9310344827586207,1.0,0.0,1.0,1.0740740740740742,29.0,27.0,27.0
29,29,493.0,1237.0,5.0182555780933065,0.01019970645953924,0.05254369917848199,1.0101725371136838,-0.220605497897725,0.0,1.0,-0.220605497897725,7.9936198525033495,8.627966323826062,0.005089508699891792,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,30.0,30.0,28.0,30.0,0.0,2.0,0.0,30.0,0.024252223120452707,0.02263540824575586,0.0,0.9333333333333333,1.0,0.0,1.0,1.0714285714285714,30.0,28.0,28.0
