Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2.0,1.0,1.0,1.0,0.5,0.0,,1.0,1.0,,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,96.0,156.0,3.25,0.03421052631578947,0.03465436649954958,0.4447916666666667,-0.24403552736776962,0.0,1.0,-0.24403552736776962,6.041023814835882,6.293265466620046,0.016927083333333332,0.0,0.0,0.0,0.0,0.0,0.0,156.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.02564102564102564,0.01282051282051282,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,112.0,198.0,3.5357142857142856,0.03185328185328186,0.03600964372871389,0.5373299319727891,-0.2211185650886884,0.0,1.0,-0.2211185650886884,6.249962158064104,6.4532256761307725,0.015784438775510203,0.0,0.0,0.0,0.0,0.0,0.0,198.0,7.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.025252525252525252,0.015151515151515152,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,126.0,237.0,3.761904761904762,0.0300952380952381,0.03781911437878438,0.597039556563366,-0.19194121738152317,0.0,1.0,-0.19194121738152317,6.393869876748367,6.603794317549243,0.014865205341395817,0.0,0.0,0.0,0.0,0.0,0.0,237.0,7.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.02531645569620253,0.016877637130801686,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,139.0,274.0,3.9424460431654675,0.02856844958815556,0.03960015476674148,0.6486810551558754,-0.1774862779344262,0.0,1.0,-0.1774862779344262,6.5020459042492265,6.7318507825148055,0.014129703431499404,0.0,0.0,0.0,0.0,0.0,0.0,274.0,7.0,7.0,5.0,5.0,0.0,2.0,0.0,5.0,0.025547445255474453,0.01824817518248175,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,5.0,5.0,5.0
5,5,151.0,313.0,4.145695364238411,0.02763796909492274,0.04196925967382551,0.702563955544088,-0.18130273388200824,0.0,1.0,-0.18130273388200824,6.6124822874329725,6.834969611007377,0.013683610367966318,0.0,0.0,0.0,0.0,0.0,0.0,313.0,8.0,8.0,6.0,6.0,0.0,2.0,0.0,6.0,0.025559105431309903,0.019169329073482427,0.0,0.75,0.75,0.0,1.0,1.0,6.0,6.0,6.0
6,6,166.0,355.0,4.27710843373494,0.02592186929536327,0.043004624055697334,0.7277721274709227,-0.18112692505015085,0.0,1.0,-0.18112692505015085,6.733068590471397,6.9738964976407765,0.012810277253592683,0.0,0.0,0.0,0.0,0.0,0.0,355.0,8.0,9.0,7.0,7.0,0.0,2.0,0.0,7.0,0.02535211267605634,0.01971830985915493,0.0,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,7.0,7.0,7.0
7,7,180.0,394.0,4.377777777777778,0.0244568590937306,0.04467715753046334,0.7706160506160507,-0.18437347856964495,0.0,1.0,-0.18437347856964495,6.8289115833939675,7.088762266025156,0.012098765432098766,0.0,0.0,0.0,0.0,0.0,0.0,394.0,9.0,10.0,8.0,8.0,0.0,2.0,0.0,8.0,0.025380710659898477,0.02030456852791878,0.0,0.8,0.8,0.0,1.0,1.0,8.0,8.0,8.0
8,8,192.0,428.0,4.458333333333333,0.023342059336823737,0.04454587172773584,0.786961793993044,-0.19519262186448028,0.0,1.0,-0.19519262186448028,6.906481010127131,7.176365324120991,0.011555989583333334,0.0,0.0,0.0,0.0,0.0,0.0,428.0,9.0,11.0,9.0,9.0,0.0,2.0,0.0,9.0,0.02570093457943925,0.02102803738317757,0.0,0.8181818181818182,0.8181818181818182,0.0,1.0,1.0,9.0,9.0,9.0
9,9,205.0,466.0,4.546341463414634,0.02228598756575801,0.044359815510761395,0.8133206360035629,-0.21249358236157595,0.0,1.0,-0.21249358236157595,6.98118590244443,7.261524519286697,0.011041046995835812,0.0,0.0,0.0,0.0,0.0,0.0,466.0,10.0,12.0,10.0,10.0,0.0,2.0,0.0,10.0,0.02575107296137339,0.02145922746781116,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,10.0,10.0,10.0
