Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2876.0,7917.0,5.5055632823365785,0.0019149785329866365,0.0017140617469556256,0.8565156812226349,-0.11724473967872535,0.0,3.0,-0.11724473967872535,10.051382722877552,8.55260919389533,0.0009559473538622836,293.0,274.0,4.4573378839590445,0.1386861313868613,0.309255079006772,2773.0,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2946.0,8066.0,5.475899524779362,0.0018593886332018209,0.0016995349500026908,0.8702828869350248,-0.11705001824328075,0.0,3.0,-0.11705001824328075,10.098012508768221,8.668314462519202,0.0009282265204548587,293.0,274.0,4.6416382252559725,0.1386861313868613,0.309255079006772,2872.0,8066.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0004959087527894868,0.0002479543763947434,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,2960.0,8105.0,5.476351351351352,0.0018507439511156985,0.0017103949003604935,0.8752542538039829,-0.11852545244916739,0.0,3.0,-0.11852545244916739,10.108011041399482,8.708049262218552,0.0009239180058436815,293.0,274.0,4.679180887372014,0.1386861313868613,0.309255079006772,2903.0,8105.0,6.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0006169031462060457,0.0003701418877236274,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,2974.0,8144.0,5.47679892400807,0.0018421792546276725,0.001727075434969384,0.8804067166734275,-0.12019231858779753,0.0,3.0,-0.12019231858779753,10.117681737433506,8.752169197249424,0.000919649289583926,293.0,274.0,4.716723549488054,0.1386861313868613,0.309255079006772,2934.0,8144.0,7.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0007367387033398821,0.0004911591355599214,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,2991.0,8189.0,5.47576061517887,0.001831358065277214,0.0017445252684261518,0.8853197452519412,-0.12127306459950807,0.0,3.0,-0.12127306459950807,10.129827123194973,8.79930229851475,0.0009142550799618291,293.0,274.0,4.757679180887372,0.1386861313868613,0.309255079006772,2965.0,8189.0,8.0,7.0,5.0,5.0,0.0,2.0,0.0,5.0,0.000854805226523385,0.0006105751618024178,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,5.0,5.0,5.0
5,5,2999.0,8215.0,5.478492830943648,0.0018273825320025507,0.0017535233595134454,0.8885187297848847,-0.12343448306517817,0.0,3.0,-0.12343448306517817,10.13524612079635,8.820944896994654,0.0009122747484684513,293.0,274.0,4.778156996587031,0.1386861313868613,0.309255079006772,2986.0,8215.0,8.0,7.0,5.0,6.0,0.0,2.0,0.0,6.0,0.000852099817407182,0.0006086427267194157,0.0,0.7142857142857143,0.8571428571428571,0.0,1.0,1.2,6.0,5.0,5.0
6,6,3017.0,8260.0,5.475638051044084,0.0018155298577732374,0.0017717546087752908,0.8930185398389568,-0.12424724128001051,0.0,3.0,-0.12424724128001051,10.146977746949535,8.86631477936161,0.0009063654208298594,293.0,274.0,4.822525597269625,0.1386861313868613,0.309255079006772,3019.0,8260.0,9.0,8.0,6.0,7.0,0.0,2.0,0.0,7.0,0.0009685230024213075,0.0007263922518159806,0.0,0.75,0.875,0.0,1.0,1.1666666666666667,7.0,6.0,6.0
7,7,3033.0,8305.0,5.4764259808770195,0.0018062090965953233,0.001797050552625468,0.898449532650719,-0.12561032383453397,0.0,3.0,-0.12561032383453397,10.157982863187161,8.91229231032923,0.0009017197246379506,293.0,274.0,4.8668941979522184,0.1386861313868613,0.309255079006772,3051.0,8305.0,10.0,9.0,7.0,8.0,0.0,2.0,0.0,8.0,0.0010836845273931367,0.0008428657435279952,0.0,0.7777777777777778,0.8888888888888888,0.0,1.0,1.1428571428571428,8.0,7.0,7.0
8,8,3047.0,8344.0,5.476862487692813,0.0017980507182182577,0.0018255805770351098,0.9034987564548438,-0.12746672266962342,0.0,3.0,-0.12746672266962342,10.166885253265237,8.955278243496547,0.0008976532087978631,293.0,274.0,4.901023890784983,0.1386861313868613,0.309255079006772,3080.0,8344.0,11.0,10.0,8.0,9.0,0.0,2.0,0.0,9.0,0.0011984659635666348,0.0009587727708533077,0.0,0.8,0.9,0.0,1.0,1.125,9.0,8.0,8.0
9,9,3061.0,8383.0,5.477295001633453,0.0017899656868083178,0.001850184137864421,0.9080332874377952,-0.12876817537248902,0.0,3.0,-0.12876817537248902,10.17593320478602,8.99269010186923,0.0008936231932626383,293.0,274.0,4.935153583617748,0.1386861313868613,0.309255079006772,3109.0,8383.0,12.0,11.0,9.0,10.0,0.0,2.0,0.0,10.0,0.0013121794107121556,0.0010736013360372182,0.0,0.8181818181818182,0.9090909090909091,0.0,1.0,1.1111111111111112,10.0,9.0,9.0
