Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2.0,1.0,1.0,1.0,0.5,0.0,,1.0,1.0,,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,99.0,160.0,3.2323232323232323,0.03298289012574727,0.032921588564392305,0.4321308321308322,-0.25712337062789953,0.0,1.0,-0.25712337062789953,6.091419510085236,6.344523584276892,0.016324864809713294,0.0,0.0,0.0,0.0,0.0,0.0,160.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.025,0.0125,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,116.0,206.0,3.5517241379310347,0.030884557721139433,0.035701831090729094,0.5116584564860427,-0.24221416434372908,0.0,1.0,-0.24221416434372908,6.312015328630231,6.550113123262964,0.015309155766944114,0.0,0.0,0.0,0.0,0.0,0.0,206.0,6.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.024271844660194174,0.014563106796116505,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,128.0,242.0,3.78125,0.02977362204724409,0.038754421118688154,0.5853794642857143,-0.18748103287347656,0.0,1.0,-0.18748103287347656,6.418297878849247,6.6750175239027465,0.0147705078125,0.0,0.0,0.0,0.0,0.0,0.0,242.0,6.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.024793388429752067,0.01652892561983471,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,143.0,284.0,3.972027972027972,0.027972027972027972,0.04130412345452549,0.6401333709026017,-0.19293492394979178,0.0,1.0,-0.19293492394979178,6.558035367274329,6.829088530677842,0.013888209692405496,0.0,0.0,0.0,0.0,0.0,0.0,284.0,6.0,7.0,5.0,5.0,0.0,2.0,0.0,5.0,0.02464788732394366,0.017605633802816902,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,5.0,5.0,5.0
5,5,155.0,320.0,4.129032258064516,0.02681189777963972,0.04320797760122683,0.6810120524636654,-0.18545503298228147,0.0,1.0,-0.18545503298228147,6.64621900381861,6.939114885443961,0.01327783558792924,0.0,0.0,0.0,0.0,0.0,0.0,320.0,6.0,8.0,6.0,6.0,0.0,2.0,0.0,6.0,0.025,0.01875,0.0,0.75,0.75,0.0,1.0,1.0,6.0,6.0,6.0
6,6,170.0,359.0,4.223529411764706,0.024991298294465714,0.04498403737991211,0.7142637264696087,-0.1876747002891186,0.0,1.0,-0.1876747002891186,6.756120330512731,7.072064814559396,0.012387543252595156,0.0,0.0,0.0,0.0,0.0,0.0,359.0,7.0,9.0,7.0,7.0,0.0,2.0,0.0,7.0,0.025069637883008356,0.019498607242339833,0.0,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,7.0,7.0,7.0
7,7,177.0,385.0,4.350282485875706,0.024717514124293787,0.04544806150171284,0.7540205086815256,-0.18569973076831098,0.0,1.0,-0.18569973076831098,6.799751726972467,7.123138051049645,0.01225701426793067,0.0,0.0,0.0,0.0,0.0,0.0,385.0,7.0,9.0,7.0,8.0,0.0,2.0,0.0,8.0,0.023376623376623377,0.01818181818181818,0.0,0.7777777777777778,0.8888888888888888,0.0,1.0,1.1428571428571428,8.0,7.0,7.0
8,8,189.0,421.0,4.455026455026455,0.02369694922886412,0.04673033018967963,0.786239510049034,-0.18194923520662015,0.0,1.0,-0.18194923520662015,6.871114578372983,7.216513885191857,0.011729794798577867,0.0,0.0,0.0,0.0,0.0,0.0,421.0,7.0,10.0,8.0,9.0,0.0,2.0,0.0,9.0,0.023752969121140142,0.019002375296912115,0.0,0.8,0.9,0.0,1.0,1.125,9.0,8.0,8.0
9,9,206.0,463.0,4.495145631067961,0.021927539663746155,0.04741996974081874,0.8026678632618096,-0.18424134996939842,0.0,1.0,-0.18424134996939842,6.977270449266271,7.346943621369591,0.010863417852766519,0.0,0.0,0.0,0.0,0.0,0.0,463.0,8.0,11.0,9.0,10.0,0.0,2.0,0.0,10.0,0.023758099352051837,0.019438444924406047,0.0,0.8181818181818182,0.9090909090909091,0.0,1.0,1.1111111111111112,10.0,9.0,9.0
