Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2876.0,7917.0,5.5055632823365785,0.0019149785329866359,0.0017140617469556258,0.8565156812226347,-0.11724473967872584,0.0,3.0,-0.11724473967872584,10.051382722877555,8.552609193895329,0.0009559473538622836,293.0,274.0,4.4573378839590445,0.1386861313868613,0.309255079006772,2773.0,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2948.0,8070.0,5.474898236092266,0.0018577869820469173,0.0016970447076138503,0.8709717820495291,-0.11692499114178785,0.0,3.0,-0.11692499114178785,10.099103143138223,8.6689892560475,0.0009274277434831517,293.0,274.0,4.648464163822526,0.1386861313868613,0.309255079006772,2875.0,8070.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0004956629491945477,0.00024783147459727387,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,2966.0,8113.0,5.470667565745111,0.0018450818096948096,0.0017051350517631346,0.8749219367079104,-0.11820308315970203,0.0,3.0,-0.11820308315970203,10.11109189581654,8.71328596784743,0.0009210931350995709,293.0,274.0,4.686006825938566,0.1386861313868613,0.309255079006772,2906.0,8113.0,6.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.000616294835449279,0.0003697769012695674,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,2983.0,8158.0,5.4696614146832045,0.0018342258265201892,0.0017155807305210197,0.8800204505391224,-0.11892121857028608,0.0,3.0,-0.11892121857028608,10.123217699119623,8.754790689086816,0.0009156816552036016,293.0,274.0,4.73037542662116,0.1386861313868613,0.309255079006772,2939.0,8158.0,7.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0007354743809757293,0.0004903162539838195,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,2997.0,8197.0,5.470136803470137,0.0018258133522931028,0.0017309721311929232,0.8851283201157069,-0.12029797518963785,0.0,3.0,-0.12029797518963785,10.132636863264791,8.795099761609356,0.0009114887326432205,293.0,274.0,4.7679180887372015,0.1386861313868613,0.309255079006772,2970.0,8197.0,8.0,7.0,5.0,5.0,0.0,2.0,0.0,5.0,0.0008539709649871904,0.000609979260705136,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,5.0,5.0,5.0
5,5,3012.0,8238.0,5.47011952191235,0.0018167118970150618,0.0017543773327407693,0.889844011111341,-0.12275191679854706,0.0,3.0,-0.12275191679854706,10.142166889311321,8.842619982788943,0.0009069520942348358,293.0,274.0,4.808873720136519,0.1386861313868613,0.309255079006772,3002.0,8238.0,9.0,8.0,6.0,6.0,0.0,2.0,0.0,6.0,0.0009711094925952901,0.0007283321194464676,0.0,0.75,0.75,0.0,1.0,1.0,6.0,6.0,6.0
6,6,3024.0,8274.0,5.472222222222222,0.0018101959054655054,0.001773803219921295,0.8945062614729277,-0.12507279944042218,0.0,3.0,-0.12507279944042218,10.149841811615566,8.879242910659642,0.0009035957489991882,293.0,274.0,4.839590443686006,0.1386861313868613,0.309255079006772,3031.0,8274.0,9.0,9.0,7.0,7.0,0.0,2.0,0.0,7.0,0.0010877447425670776,0.0008460236886632825,0.0,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,7.0,7.0,7.0
7,7,3032.0,8300.0,5.474934036939314,0.0018063127802505161,0.0017849954177412144,0.8978656277451456,-0.12741011062525354,0.0,3.0,-0.12741011062525354,10.15485862456767,8.900732146649084,0.0009016619558482606,293.0,274.0,4.860068259385666,0.1386861313868613,0.309255079006772,3052.0,8300.0,9.0,9.0,7.0,8.0,0.0,2.0,0.0,8.0,0.0010843373493975904,0.0008433734939759036,0.0,0.7777777777777778,0.8888888888888888,0.0,1.0,1.1428571428571428,8.0,7.0,7.0
8,8,3046.0,8341.0,5.476690741956665,0.0017985848085243562,0.0018098378800164487,0.9027061240233264,-0.1292402988434586,0.0,3.0,-0.1292402988434586,10.163730599760928,8.941349588504544,0.0008978115815753974,293.0,274.0,4.901023890784983,0.1386861313868613,0.309255079006772,3083.0,8341.0,10.0,10.0,8.0,9.0,0.0,2.0,0.0,9.0,0.0011988970147464332,0.0009591176117971466,0.0,0.8,0.9,0.0,1.0,1.125,9.0,8.0,8.0
9,9,3060.0,8380.0,5.477124183006536,0.001790494992810244,0.0018403932291067072,0.9078349063666704,-0.13102380169411565,0.0,3.0,-0.13102380169411565,10.1722391516488,8.984343569090637,0.0008937801700200777,293.0,274.0,4.938566552901024,0.1386861313868613,0.309255079006772,3113.0,8380.0,11.0,11.0,9.0,10.0,0.0,2.0,0.0,10.0,0.0013126491646778043,0.0010739856801909309,0.0,0.8181818181818182,0.9090909090909091,0.0,1.0,1.1111111111111112,10.0,9.0,9.0
