Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2935.0,8029.0,5.471209540034072,0.0018647612610886404,0.0016898239282615564,0.865158125790902,-0.11534504799989043,0.0,3.0,-0.11534504799989043,10.088753232647997,8.633065260097776,0.0009309020834723959,293.0,274.0,4.607508532423208,0.1386861313868613,0.309255079006772,2842.0,8029.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0003736455349358575,0.00012454851164528583,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0
1,1,2951.0,8071.0,5.470010166045408,0.0018542407342526806,0.0016959115085159462,0.870125882801992,-0.11612144137770936,0.0,3.0,-0.11612144137770936,10.100468069369114,8.671831531104548,0.0009256578790985854,293.0,274.0,4.648464163822526,0.1386861313868613,0.309255079006772,2874.0,8071.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0004956015363647627,0.00024780076818238137,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,2967.0,8113.0,5.468823727671048,0.0018438380740630643,0.0017023738169957316,0.8752639524150136,-0.11692686106033044,0.0,3.0,-0.11692686106033044,10.112001516905336,8.706496901049142,0.0009204723478315396,293.0,274.0,4.686006825938566,0.1386861313868613,0.309255079006772,2905.0,8113.0,7.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.000616294835449279,0.0003697769012695674,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,2982.0,8152.0,5.46747149564051,0.0018341065064208352,0.0017137392519794461,0.8797446757229448,-0.11828863522281843,0.0,3.0,-0.11828863522281843,10.122152905703638,8.745913021521318,0.0009156211582034123,293.0,274.0,4.720136518771331,0.1386861313868613,0.309255079006772,2934.0,8152.0,8.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0007360157016683023,0.0004906771344455348,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,2989.0,8178.0,5.4720642355302775,0.001831346799039584,0.0017200680083318761,0.88315072328361,-0.1202881530056579,0.0,3.0,-0.1202881530056579,10.127676258265069,8.76391665218285,0.0009142477474840557,293.0,274.0,4.7406143344709895,0.1386861313868613,0.309255079006772,2955.0,8178.0,8.0,6.0,4.0,5.0,0.0,2.0,0.0,5.0,0.0007336757153338225,0.0004891171435558817,0.0,0.6666666666666666,0.8333333333333334,0.0,1.0,1.25,5.0,4.0,4.0
5,5,3003.0,8217.0,5.472527472527473,0.0018229605171643812,0.0017366886094830004,0.8882824226005038,-0.12177301555629527,0.0,3.0,-0.12177301555629527,10.136986034480568,8.803795339317471,0.0009100678431347762,293.0,274.0,4.778156996587031,0.1386861313868613,0.309255079006772,2986.0,8217.0,9.0,7.0,5.0,6.0,0.0,2.0,0.0,6.0,0.0008518924181574784,0.0006084945843981989,0.0,0.7142857142857143,0.8571428571428571,0.0,1.0,1.2,6.0,5.0,5.0
6,6,3017.0,8256.0,5.472986410341399,0.001814650666558819,0.001756463715922349,0.8933303372008039,-0.12355485478318542,0.0,3.0,-0.12355485478318542,10.146025033703225,8.844538161376951,0.000905925970928851,293.0,274.0,4.815699658703072,0.1386861313868613,0.309255079006772,3017.0,8256.0,10.0,8.0,6.0,7.0,0.0,2.0,0.0,7.0,0.0009689922480620155,0.0007267441860465116,0.0,0.75,0.875,0.0,1.0,1.1666666666666667,7.0,6.0,6.0
7,7,3031.0,8295.0,5.4734411085450345,0.0018064162074406056,0.0017805335330400602,0.8982803751715656,-0.12541711229102226,0.0,3.0,-0.12541711229102226,10.15502696638978,8.887317117302732,0.0009018216143510351,293.0,274.0,4.849829351535837,0.1386861313868613,0.309255079006772,3047.0,8295.0,11.0,9.0,7.0,8.0,0.0,2.0,0.0,8.0,0.00108499095840868,0.0008438818565400844,0.0,0.7777777777777778,0.8888888888888888,0.0,1.0,1.1428571428571428,8.0,7.0,7.0
8,8,3045.0,8334.0,5.473891625615764,0.001798256118796243,0.0018068593910509716,0.9033861119599045,-0.12731637857808784,0.0,3.0,-0.12731637857808784,10.163629777522058,8.928661679263527,0.0008977542661931994,293.0,274.0,4.887372013651877,0.1386861313868613,0.309255079006772,3078.0,8334.0,12.0,10.0,8.0,9.0,0.0,2.0,0.0,9.0,0.0011999040076793857,0.0009599232061435085,0.0,0.8,0.9,0.0,1.0,1.125,9.0,8.0,8.0
9,9,3062.0,8379.0,5.472893533638145,0.0017879430034753818,0.0018358734848534842,0.9084662158647322,-0.12863617684787532,0.0,3.0,-0.12863617684787532,10.17458550772724,8.974531936020412,0.000892612974362628,293.0,274.0,4.928327645051194,0.1386861313868613,0.309255079006772,3109.0,8379.0,13.0,11.0,9.0,10.0,0.0,2.0,0.0,10.0,0.0013128058240840196,0.0010741138560687433,0.0,0.8181818181818182,0.9090909090909091,0.0,1.0,1.1111111111111112,10.0,9.0,9.0
