Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2876.0,7917.0,5.5055632823365785,0.0019149785329866365,0.0017140617469556256,0.8565156812226347,-0.11724473967872574,0.0,3.0,-0.11724473967872574,10.051382722877552,8.55260919389533,0.0009559473538622836,293.0,274.0,4.4573378839590445,0.1386861313868613,0.309255079006772,2773.0,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2951.0,8072.0,5.470687902405964,0.0018544704753918524,0.0016972124653235996,0.870884302062614,-0.11631823303968578,0.0,3.0,-0.11631823303968578,10.100468982530574,8.672833892122831,0.0009257727107421902,293.0,274.0,4.648464163822526,0.1386861313868613,0.309255079006772,2874.0,8072.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0004955401387512388,0.0002477700693756194,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,2967.0,8115.0,5.470171890798786,0.001844292613216044,0.0017042217951082587,0.8751487968145191,-0.11773363488842876,0.0,3.0,-0.11773363488842876,10.111878711945836,8.71066335660366,0.0009206995408089138,293.0,274.0,4.689419795221843,0.1386861313868613,0.309255079006772,2906.0,8115.0,5.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0006161429451632779,0.0003696857670979667,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,2981.0,8154.0,5.4706474337470645,0.0018357877294453233,0.001719170189826156,0.8802522496944497,-0.11933260200031892,0.0,3.0,-0.11933260200031892,10.121670764381532,8.753162822621709,0.0009164606299473992,293.0,274.0,4.726962457337884,0.1386861313868613,0.309255079006772,2937.0,8154.0,6.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0007358351729212656,0.0004905567819475104,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,2995.0,8193.0,5.471118530884808,0.0018273608987591208,0.0017377460580007954,0.8856713790627639,-0.1208232544095067,0.0,3.0,-0.1208232544095067,10.131147541456473,8.796740172118351,0.0009122605566874117,293.0,274.0,4.764505119453925,0.1386861313868613,0.309255079006772,2968.0,8193.0,7.0,7.0,5.0,5.0,0.0,2.0,0.0,5.0,0.0008543878921030148,0.0006102770657878677,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,5.0,5.0,5.0
5,5,3009.0,8234.0,5.472914589564639,0.001819452988552074,0.0017528071942574316,0.8898413445296789,-0.12268419162201888,0.0,3.0,-0.12268419162201888,10.140863128585607,8.83498701344071,0.0009083196847918635,293.0,274.0,4.805460750853243,0.1386861313868613,0.309255079006772,3000.0,8234.0,8.0,8.0,6.0,6.0,0.0,2.0,0.0,6.0,0.0009715812484819043,0.0007286859363614282,0.0,0.75,0.75,0.0,1.0,1.0,6.0,6.0,6.0
6,6,3023.0,8273.0,5.473370823685081,0.0018111749912922172,0.0017698741182516516,0.8948074959428575,-0.12413747426576603,0.0,3.0,-0.12413747426576603,10.150087595074043,8.871582652442292,0.0009041936618026819,293.0,274.0,4.843003412969283,0.1386861313868613,0.309255079006772,3031.0,8273.0,9.0,9.0,7.0,7.0,0.0,2.0,0.0,7.0,0.0010878762238607518,0.0008461259518916959,0.0,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,7.0,7.0,7.0
7,7,3037.0,8312.0,5.473822851498189,0.001802971953721406,0.0017868996281915654,0.8993494475984427,-0.12562886073595253,0.0,3.0,-0.12562886073595253,10.159104751775931,8.905855069829919,0.0009001049399628271,293.0,274.0,4.8805460750853245,0.1386861313868613,0.309255079006772,3062.0,8312.0,10.0,10.0,8.0,8.0,0.0,2.0,0.0,8.0,0.001203079884504331,0.0009624639076034649,0.0,0.8,0.8,0.0,1.0,1.0,8.0,8.0,8.0
8,8,3051.0,8351.0,5.474270730907899,0.0017948428625927538,0.001804553865698137,0.9040090456780716,-0.12701142301378177,0.0,3.0,-0.12701142301378177,10.168058673998889,8.939409375056217,0.0008960530159150661,293.0,274.0,4.918088737201365,0.1386861313868613,0.309255079006772,3093.0,8351.0,11.0,11.0,9.0,9.0,0.0,2.0,0.0,9.0,0.0013172075200574781,0.0010777152436833913,0.0,0.8181818181818182,0.8181818181818182,0.0,1.0,1.0,9.0,9.0,9.0
9,9,3067.0,8393.0,5.473100749918487,0.0017850948303713265,0.0018214782185241214,0.9085768584080283,-0.12807882782980448,0.0,3.0,-0.12807882782980448,10.177944211203382,8.973848694547858,0.0008911933028359465,293.0,274.0,4.959044368600683,0.1386861313868613,0.309255079006772,3124.0,8393.0,12.0,12.0,10.0,10.0,0.0,2.0,0.0,10.0,0.0014297628976528058,0.0011914690813773384,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,10.0,10.0,10.0
