Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0,0,2.0,1.0,1.0,1.0,0.5,0.0,,1.0,1.0,,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,102.0,161.0,3.156862745098039,0.031256066783148906,0.02934099109909912,0.4303688141923436,-0.2498712937076876,0.0,1.0,-0.2498712937076876,6.139237054646563,6.352599372455468,0.015474817377931565,0.0,0.0,0.0,0.0,0.0,0.0,161.0,6.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.024844720496894408,0.012422360248447204,0.0,0.5,0.5,0.0,1.0,1.0,2.0,2.0,2.0
2,2,115.0,200.0,3.4782608695652173,0.030511060259344015,0.033409414212226,0.5307453416149068,-0.20611296535067852,0.0,1.0,-0.20611296535067852,6.283754999729924,6.495453325727547,0.015122873345935728,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,0.025,0.015,0.0,0.6,0.6,0.0,1.0,1.0,3.0,3.0,3.0
3,3,129.0,239.0,3.705426356589147,0.028948643410852713,0.03667730656382414,0.6071428571428571,-0.18333746728369574,0.0,1.0,-0.18333746728369574,6.423569869782429,6.652267993342516,0.014362117661198246,0.0,0.0,0.0,0.0,0.0,0.0,239.0,8.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,0.02510460251046025,0.016736401673640166,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,4.0,4.0,4.0
4,4,147.0,284.0,3.8639455782312924,0.026465380672817073,0.03612151020034136,0.6440287226001512,-0.19137711796896284,0.0,1.0,-0.19137711796896284,6.604305311449911,6.8333333392798625,0.013142672034800315,0.0,0.0,0.0,0.0,0.0,0.0,284.0,9.0,7.0,5.0,5.0,0.0,2.0,0.0,5.0,0.02464788732394366,0.017605633802816902,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,5.0,5.0,5.0
5,5,161.0,323.0,4.012422360248447,0.025077639751552798,0.03731862934664039,0.6907275953859805,-0.19073559115260347,0.0,1.0,-0.19073559115260347,6.715397599660927,6.961927069447285,0.012460939006982755,0.0,0.0,0.0,0.0,0.0,0.0,323.0,10.0,8.0,6.0,6.0,0.0,2.0,0.0,6.0,0.02476780185758514,0.018575851393188854,0.0,0.75,0.75,0.0,1.0,1.0,6.0,6.0,6.0
6,6,174.0,363.0,4.172413793103448,0.024117998804066173,0.03844530827123369,0.7269393441807235,-0.19899769605715453,0.0,1.0,-0.19899769605715453,6.815783128214534,7.0811592710194855,0.01198969480776853,0.0,0.0,0.0,0.0,0.0,0.0,363.0,11.0,9.0,7.0,7.0,0.0,2.0,0.0,7.0,0.024793388429752067,0.01928374655647383,0.0,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,7.0,7.0,7.0
7,7,188.0,402.0,4.276595744680851,0.022869495960860162,0.03847417399328112,0.7607902735562311,-0.19995949090311357,0.0,1.0,-0.19995949090311357,6.910486421775401,7.176536178883718,0.011373924852874603,0.0,0.0,0.0,0.0,0.0,0.0,402.0,12.0,10.0,8.0,8.0,0.0,2.0,0.0,8.0,0.024875621890547265,0.01990049751243781,0.0,0.8,0.8,0.0,1.0,1.0,8.0,8.0,8.0
8,8,201.0,441.0,4.388059701492537,0.021940298507462687,0.039094407445812294,0.7901053341351848,-0.2031374800064991,0.0,1.0,-0.2031374800064991,6.9919106342023705,7.260749383172691,0.010915571396747606,0.0,0.0,0.0,0.0,0.0,0.0,441.0,12.0,11.0,9.0,9.0,0.0,2.0,0.0,9.0,0.024943310657596373,0.02040816326530612,0.0,0.8181818181818182,0.8181818181818182,0.0,1.0,1.0,9.0,9.0,9.0
9,9,215.0,480.0,4.465116279069767,0.02086502934144751,0.03917381477107383,0.8162126245847175,-0.20370734862458834,0.0,1.0,-0.20370734862458834,7.071230130870199,7.34479357008604,0.010383991346673878,0.0,0.0,0.0,0.0,0.0,0.0,480.0,13.0,12.0,10.0,10.0,0.0,2.0,0.0,10.0,0.025,0.020833333333333332,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,10.0,10.0,10.0
